"package","version","library","shadowed_version","built"
"globals","0.19.1","R_LIBS_USER",,"4.4.2"
"glue","1.8.0","R module",,"4.4.2"
"GO.db","3.18.0","R_LIBS_USER",,"4.4.2"
"goftest","1.2-3","R_LIBS_USER",,"4.4.2"
"GOfuncR","1.26.0","R_LIBS_USER",,"4.4.2"
"googledrive","2.1.2","R_LIBS_USER",,"4.4.2"
"googlesheets4","1.1.2","R_LIBS_USER",,"4.4.2"
"gplots","3.3.0","R_LIBS_USER",,"4.4.2"
"graph","1.84.1","R_LIBS_USER",,"4.4.2"
"graphics","4.4.2","R module",,"4.4.2"
"grDevices","4.4.2","R module",,"4.4.2"
"grid","4.4.2","R module",,"4.4.2"
"gridExtra","2.3","R_LIBS_USER",,"4.4.2"
"GSEABase","1.68.0","R_LIBS_USER",,"4.4.2"
"gtable","0.3.6","R_LIBS_USER",,"4.4.2"
"gtools","3.9.5","R_LIBS_USER",,"4.4.2"
"haven","2.5.5","R_LIBS_USER",,"4.4.2"
"HDF5Array","1.34.0","R_LIBS_USER",,"4.4.2"
"here","1.0.2","R_LIBS_USER",,"4.4.2"
"highr","0.11","R module",,"4.4.2"
"hms","1.1.4","R_LIBS_USER",,"4.4.2"
"htmltools","0.5.8.1","R module",,"4.4.2"
"htmlwidgets","1.6.4","R module",,"4.4.2"
"httpuv","1.6.15","R module",,"4.4.2"
"httr","1.4.7","R module",,"4.4.2"
"httr2","1.0.6","R module",,"4.4.2"
"ica","1.0-3","R_LIBS_USER",,"4.4.2"
"ids","1.0.1","R_LIBS_USER",,"4.4.2"
"igraph","2.3.1","R_LIBS_USER",,"4.4.2"
"ini","0.3.1","R module",,"4.4.2"
"InSituType","2.0","R_LIBS_USER",,"4.4.2"
"IRanges","2.40.1","R_LIBS_USER",,"4.4.2"
"irlba","2.3.7","R_LIBS_USER",,"4.4.2"
"isoband","0.3.0","R_LIBS_USER",,"4.4.2"
"jquerylib","0.1.4","R module",,"4.4.2"
"jsonlite","2.0.0","R_LIBS_USER","1.8.9","4.4.2"
"KEGGREST","1.46.0","R_LIBS_USER",,"4.4.2"
"KernSmooth","2.23-26","R_LIBS_USER",,"4.4.2"
"knitr","1.49","R module",,"4.4.2"
"labeling","0.4.3","R_LIBS_USER",,"4.4.2"
"lambda.r","1.2.4","R_LIBS_USER",,"4.4.2"
"later","1.3.2","R module",,"4.4.2"
"lattice","0.22-9","R_LIBS_USER",,"4.4.2"
"lazyeval","0.2.3","R_LIBS_USER",,"4.4.2"
"lifecycle","1.0.5","R_LIBS_USER","1.0.4","4.4.2"
"limma","3.62.2","R_LIBS_USER",,"4.4.2"
"listenv","0.10.1","R_LIBS_USER",,"4.4.2"
"lme4","2.0-1","R_LIBS_USER",,"4.4.2"
"lmtest","0.9-40","R_LIBS_USER",,"4.4.2"
"locfit","1.5-9.12","R_LIBS_USER",,"4.4.2"
"lsa","0.73.4","R_LIBS_USER",,"4.4.2"
"lubridate","1.9.5","R_LIBS_USER",,"4.4.2"
"magick","2.9.1","R_LIBS_USER",,"4.4.2"
"magrittr","2.0.3","R module",,"4.4.2"
"mapplots","1.5.3","R_LIBS_USER",,"4.4.2"
"MASS","7.3-65","R_LIBS_USER",,"4.4.2"
"Matrix","1.7-5","R_LIBS_USER",,"4.4.2"
"MatrixGenerics","1.18.1","R_LIBS_USER",,"4.4.2"
"MatrixModels","0.5-4","R_LIBS_USER",,"4.4.2"
"matrixStats","1.5.0","R_LIBS_USER",,"4.4.2"
"mclust","6.1.2","R_LIBS_USER",,"4.4.2"
"memoise","2.0.1","R module",,"4.4.2"
"metapod","1.14.0","R_LIBS_USER",,"4.4.2"
"methods","4.4.2","R module",,"4.4.2"
"mgcv","1.9-4","R_LIBS_USER",,"4.4.2"
"microbenchmark","1.5.0","R_LIBS_USER",,"4.4.2"
"mime","0.12","R module",,"4.4.2"
"miniUI","0.1.2","R_LIBS_USER","0.1.1.1","4.4.2"
"minqa","1.2.8","R_LIBS_USER",,"4.4.2"
"modelr","0.1.11","R_LIBS_USER",,"4.4.2"
"msigdb","1.14.0","R_LIBS_USER",,"4.4.2"
"msigdbr","26.1.0","R_LIBS_USER",,"4.4.2"
"nlme","3.1-169","R_LIBS_USER",,"4.4.2"
"nloptr","2.2.1","R_LIBS_USER",,"4.4.2"
"nnet","7.3-20","R_LIBS_USER",,"4.4.2"
"numDeriv","2016.8-1.1","R_LIBS_USER",,"4.4.2"
"openssl","2.2.2","R module",,"4.4.2"
"org.Hs.eg.db","3.20.0","R_LIBS_USER",,"4.4.2"
"org.Mm.eg.db","3.20.0","R_LIBS_USER",,"4.4.2"
"otel","0.2.0","R_LIBS_USER",,"4.4.2"
"pak","0.9.5","R_LIBS_USER",,"4.4.2"
"parallel","4.4.2","R module",,"4.4.2"
"parallelly","1.47.0","R_LIBS_USER",,"4.4.2"
"patchwork","1.3.2","R_LIBS_USER",,"4.4.2"
"pbapply","1.7-4","R_LIBS_USER",,"4.4.2"
"pbkrtest","0.5.5","R_LIBS_USER",,"4.4.2"
"peakRAM","1.0.3","R_LIBS_USER",,"4.4.2"
"pheatmap","1.0.13","R_LIBS_USER",,"4.4.2"
"pillar","1.9.0","R module",,"4.4.2"
"pkgbuild","1.4.8","R_LIBS_USER","1.4.5","4.4.2"
"pkgconfig","2.0.3","R module",,"4.4.2"
"pkgdown","2.2.0","R_LIBS_USER","2.1.1","4.4.2"
"pkgload","1.5.2","R_LIBS_USER","1.4.0","4.4.2"
"plotly","4.12.0","R_LIBS_USER",,"4.4.2"
"plyr","1.8.9","R_LIBS_USER",,"4.4.2"
"png","0.1-9","R_LIBS_USER",,"4.4.2"
"polyclip","1.10-7","R_LIBS_USER",,"4.4.2"
"praise","1.0.0","R module",,"4.4.2"
"prettyunits","1.2.0","R module",,"4.4.2"
"processx","3.9.0","R_LIBS_USER","3.8.4","4.4.2"
"profvis","0.4.0","R module",,"4.4.2"
"progress","1.2.3","R_LIBS_USER",,"4.4.2"
"progressr","0.19.0","R_LIBS_USER",,"4.4.2"
"promises","1.3.0","R module",,"4.4.2"
"ps","1.9.3","R_LIBS_USER","1.8.1","4.4.2"
"purrr","1.0.2","R module",,"4.4.2"
"quantreg","6.1","R_LIBS_USER",,"4.4.2"
"R6","2.6.1","R_LIBS_USER","2.5.1","4.4.2"
"ragg","1.3.3","R module",,"4.4.2"
"RANN","2.6.2","R_LIBS_USER",,"4.4.2"
"rappdirs","0.3.3","R module",,"4.4.2"
"rbibutils","2.4.1","R_LIBS_USER",,"4.4.2"
"rcmdcheck","1.4.0","R module",,"4.4.2"
"RColorBrewer","1.1-3","R_LIBS_USER",,"4.4.2"
"Rcpp","1.1.1-1.1","R_LIBS_USER","1.0.13-1","4.4.2"
"RcppAnnoy","0.0.23","R_LIBS_USER",,"4.4.2"
"RcppArmadillo","15.2.6-1","R_LIBS_USER",,"4.4.2"
"RcppEigen","0.3.4.0.2","R_LIBS_USER",,"4.4.2"
"RcppHNSW","0.6.0","R_LIBS_USER",,"4.4.2"
"RcppProgress","0.4.2","R_LIBS_USER",,"4.4.2"
"RcppTOML","0.2.3","R_LIBS_USER",,"4.4.2"
"RCurl","1.98-1.18","R_LIBS_USER",,"4.4.2"
"Rdpack","2.6.6","R_LIBS_USER",,"4.4.2"
"readr","2.2.0","R_LIBS_USER",,"4.4.2"
"readxl","1.4.5","R_LIBS_USER",,"4.4.2"
"reformulas","0.4.4","R_LIBS_USER",,"4.4.2"
"rematch","2.0.0","R_LIBS_USER",,"4.4.2"
"rematch2","2.1.2","R module",,"4.4.2"
"remotes","2.5.0","R_LIBS_USER","2.5.0","4.4.2"
"reprex","2.1.1","R_LIBS_USER",,"4.4.2"
"reshape2","1.4.5","R_LIBS_USER",,"4.4.2"
"reticulate","1.46.0","R_LIBS_USER",,"4.4.2"
"rhdf5","2.50.2","R_LIBS_USER",,"4.4.2"
"rhdf5filters","1.18.1","R_LIBS_USER",,"4.4.2"
"Rhdf5lib","1.28.0","R_LIBS_USER",,"4.4.2"
"rjson","0.2.23","R_LIBS_USER",,"4.4.2"
"rlang","1.2.0","R_LIBS_USER","1.1.4","4.4.2"
"rmarkdown","2.29","R module",,"4.4.2"
"ROCR","1.0-12","R_LIBS_USER",,"4.4.2"
"roxygen2","8.0.0","R_LIBS_USER","7.3.2","4.4.2"
